temperature,humidity,ph,MQ135 Value (ppm),Moisture,label
20.87974371,82.00274423,6.502985292,235,10,rice
21.77046169,80.31964408,7.038096361,332,20,rice
23.00445915,82.3207629,7.840207144,380,30,rice
26.49109635,80.15836264,6.980400905,359,40,rice
20.13017482,81.60487287,7.628472891,291,50,rice
23.05804872,83.37011772,7.073453503,271,60,rice
22.70883798,82.63941394,5.70080568,323,70,rice
20.27774362,82.89408619,5.718627178,328,80,rice
24.51588066,83.5352163,6.685346424,236,90,rice
23.22397386,83.03322691,6.336253525,287,100,rice
26.52723513,81.41753846,5.386167788,219,110,rice
23.97898217,81.45061596,7.50283396,300,120,rice
26.80079604,80.88684822,5.108681786,217,130,rice
24.01497622,82.05687182,6.98435366,308,140,rice
25.66585205,80.66385045,6.94801983,229,150,rice
24.28209415,80.30025587,7.042299069,288,160,rice
21.58711777,82.7883708,6.249050656,312,170,rice
23.79391957,80.41817957,6.970859754,339,180,rice
21.8652524,80.1923008,5.953933276,214,190,rice
23.57943626,83.58760316,5.85393208,203,200,rice
21.32504158,80.47476396,6.442475375,299,210,rice
25.15745531,83.11713476,5.070175667,342,220,rice
21.94766735,80.97384195,6.012632591,294,230,rice
21.0525355,82.67839517,6.254028451,362,240,rice
23.48381344,81.33265073,7.375482851,373,250,rice
25.0756354,80.52389148,7.778915154,235,260,rice
26.35927159,84.04403589,6.286500176,295,270,rice
24.52922681,80.54498576,7.070959995,324,280,rice
20.77576147,84.49774397,6.244841491,384,290,rice
22.30157427,80.64416466,6.043304899,357,300,rice
21.44653958,84.94375962,5.824709117,226,310,rice
22.17931888,80.33127223,6.357389366,238,320,rice
24.52783742,82.73685569,6.364134968,347,330,rice
20.26707606,81.63895217,5.01450727,324,340,rice
25.7354293,83.88266234,6.149410611,342,350,rice
26.79533926,82.1480873,5.950660556,215,360,rice
26.75754171,81.17734011,5.960370061,242,370,rice
23.86330467,83.15250801,5.561398642,324,380,rice
21.01944696,82.95221726,7.416245107,238,390,rice
24.17298839,83.7287574,5.583370042,322,400,rice
22.78133816,82.06719137,6.430010215,256,410,rice
25.62980105,83.52842314,5.534878156,358,420,rice
25.59704938,80.14509262,6.903985986,215,430,rice
23.83067496,84.81360127,6.271478838,261,440,rice
26.31355498,82.36698992,7.224285503,374,450,rice
24.8972823,80.52586088,6.13428721,217,460,rice
24.958779,84.47963372,5.206373153,360,470,rice
23.24113501,84.59201843,7.782051313,211,480,rice
21.66628296,80.70960551,7.062779015,368,490,rice
24.63544858,80.41363018,7.730367824,394,500,rice
23.43121862,83.06310136,5.286203711,364,510,rice
20.0454142,80.3477562,6.766240045,309,520,rice
23.85724032,82.22572988,7.382762603,200,530,rice
21.97199397,81.89918197,5.658169482,270,540,rice
26.22916897,83.83625819,5.543360238,255,550,rice
23.44676801,84.79352417,6.215109715,251,560,rice
25.65553461,83.47021081,7.120272972,308,570,rice
24.44345477,82.45432595,5.950647577,254,580,rice
20.2801937,82.1235421,7.236705436,380,590,rice
21.7238313,80.2389895,6.501697816,389,600,rice
20.41447029,82.20802629,7.592490617,347,610,rice
25.75528612,83.51827127,5.875345751,362,620,rice
20.61521424,83.77345559,6.932400225,348,630,rice
21.84106875,80.72886384,6.946209881,254,640,rice
20.08369642,83.29114712,5.739175027,397,650,rice
24.45802087,82.74835604,6.738652179,374,660,rice
21.14347496,80.33502926,5.594819626,326,670,rice
25.78720567,82.11124033,6.946636369,202,680,rice
23.64124821,80.28597873,5.012139669,282,690,rice
23.43191632,80.56887849,6.363472208,245,700,rice
24.97669518,83.891805,6.880431223,323,710,rice
22.72791041,82.1706881,7.300410836,371,720,rice
24.87300744,82.84022551,6.587918708,229,730,rice
21.32376327,83.00320459,7.283736617,245,740,rice
26.29465461,84.56919326,7.023936392,366,750,rice
22.2286982,81.85872947,6.939083505,310,760,rice
26.73072391,81.78596776,7.868474653,291,770,rice
24.88921174,81.97927117,5.005306977,354,780,rice
26.88444878,81.46033732,6.136131869,258,790,rice
22.67846116,83.72874389,7.524080076,265,800,rice
26.08867875,80.37979919,5.706943251,222,810,rice
25.42977518,82.94682591,5.758506323,261,820,rice
26.40323239,81.05635517,6.349606327,302,830,rice
26.04371967,84.96907151,5.999969026,294,840,rice
25.2827223,80.54372813,5.453592032,240,850,rice
22.08576562,83.47038318,6.372576327,347,860,rice
23.28617173,81.43321641,5.105588355,340,870,rice
25.48591986,81.40633547,5.935344406,259,880,rice
23.67575393,81.03569343,5.17782304,381,890,rice
20.82477109,84.1341879,6.462391607,365,900,rice
26.92995077,81.91411159,7.069172227,227,910,rice
23.83509503,83.88387074,7.473134377,355,920,rice
26.52872817,80.12267476,6.158376967,383,930,rice
26.46428311,83.85642678,7.549873681,392,940,rice
22.69657794,82.81088865,6.028321558,230,950,rice
22.68319059,83.46358271,6.604993475,321,960,rice
21.53346343,82.14004101,6.500343222,269,970,rice
21.40865769,83.3293191,5.935745417,255,980,rice
